collision_id,crash_date,crash_time,on_street_name,cross_street_name,off_street_name,borough,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,longitude,latitude
4513565,2022-03-26,13:48,,,1016      SAINT NICHOLAS AVENUE,MANHATTAN,10032,1,0,1,0,0,0,0,0,,-73.93979,40.835037
4514286,2022-03-25,9:56,EAST 241 STREET,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.852936,40.9046
4513637,2022-03-26,23:45,47 STREET,GREENPOINT AVENUE,,QUEENS,11104,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,-73.91788,40.742508
4513528,2022-03-26,1:26,GOWANUS RAMP,,,,,0,0,0,0,0,0,0,0,Unsafe Speed,,
4514139,2022-03-22,9:07,GRAND AVENUE,GREENE AVENUE,,BROOKLYN,11238,1,0,1,0,0,0,0,0,Aggressive Driving/Road Rage,,
4513833,2022-03-26,16:00,SUTTER AVENUE,SCHENCK AVENUE,,BROOKLYN,11207,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,-73.88788,40.67046
4513887,2022-03-26,23:17,ESSEX STREET,EAST HOUSTON STREET,,MANHATTAN,10002,1,0,0,0,0,0,1,0,Following Too Closely,-73.9863,40.72224
4514160,2022-03-23,9:00,FLATBUSH AVENUE,,,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,-73.97189,40.67639
4514002,2022-03-26,5:00,BRONX RIVER PARKWAY,,,,,0,0,0,0,0,0,0,0,Following Too Closely,-73.86579,40.88893
4514152,2022-03-25,6:15,EAST 120 STREET,,,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,-73.93975,40.80118
4513626,2022-03-26,21:50,FDR DRIVE,,,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,-73.95915,40.757668
4513774,2022-03-26,21:25,,,200       ROGERS AVENUE,BROOKLYN,11225,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.95339,40.668896
4514376,2022-03-25,18:13,,,604       EAST 2 STREET,BROOKLYN,11218,2,0,0,0,0,0,2,0,Unspecified,-73.97707,40.63654
4513982,2022-03-26,20:10,EAST 168 STREET,3 AVENUE,,BRONX,10456,1,0,1,0,0,0,0,0,Unspecified,-73.905846,40.831055
4514220,2022-03-25,12:55,GRAND CONCOURSE,,,,,0,0,0,0,0,0,0,0,Passing Too Closely,-73.89922,40.85868
4514413,2022-03-23,11:00,GULF AVENUE,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-74.17856,40.62466
4513664,2022-03-26,3:05,AVENUE J,EAST 92 STREET,,BROOKLYN,11236,1,0,0,0,0,0,1,0,Unspecified,-73.902756,40.63947
4513725,2022-03-26,4:34,WEST FORDHAM ROAD,CEDAR AVENUE,,BRONX,10468,1,0,0,0,0,0,1,0,Unspecified,-73.91182,40.86173
4514298,2022-03-26,19:56,,,11        METROTECH CENTER,BROOKLYN,11201,0,0,0,0,0,0,0,0,Unspecified,-73.985115,40.69538
4513573,2022-03-26,12:40,65 STREET,FORT HAMILTON PARKWAY,,BROOKLYN,11219,0,0,0,0,0,0,0,0,Unspecified,-74.00923,40.63063
4514201,2022-03-26,1:58,,,1670      WATSON AVENUE,BRONX,10472,0,0,0,0,0,0,0,0,Turning Improperly,-73.87075,40.82707
4514030,2022-03-26,19:56,GERRITSEN AVENUE,AVENUE S,,,,0,0,0,0,0,0,0,0,Unspecified,-73.93922,40.60548
4514125,2022-03-26,0:30,MADISON STREET,CENTRAL AVENUE,,BROOKLYN,11221,0,0,0,0,0,0,0,0,Unspecified,-73.91551,40.692593
4514194,2022-03-16,15:44,49 street,5 avenue,,MANHATTAN,10017,1,0,1,0,0,0,0,0,Unspecified,,
4514278,2022-03-26,20:05,BUSHWICK AVENUE,CONWAY STREET,,BROOKLYN,11207,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.902626,40.680664
4513803,2022-03-26,17:54,,,168       EAST 29 STREET,BROOKLYN,11226,4,0,0,0,0,0,4,0,Passing Too Closely,-73.95002,40.645718
4514241,2022-03-25,17:55,NOSTRAND AVENUE,,,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,-73.95016,40.68327
4487210,2021-12-12,9:09,JEROME AVENUE,,,,,0,1,0,1,0,0,0,0,Unspecified,-73.91807,40.84036
4407811,2021-04-13,16:00,VANDERVORT AVENUE,ANTHONY STREET,,BROOKLYN,11222,0,0,0,0,0,0,0,0,Following Too Closely,,
4456746,2021-08-05,18:17,VERRAZANO BRIDGE,,,,,0,0,0,0,0,0,0,0,Glare,,
4513878,2022-03-26,16:35,,,3071      BRIGHTON 4 STREET,BROOKLYN,11235,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.96344,40.577652
4513735,2022-03-26,19:50,,,60        WASHINGTON SQUARE SOUTH,MANHATTAN,10012,1,0,0,0,1,0,0,0,Passenger Distraction,-73.99781,40.730145
4513958,2022-03-26,13:19,ROCKAWAY BOULEVARD,132 STREET,,QUEENS,11420,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,-73.806206,40.67478
4514367,2022-03-25,8:45,,,1175      MC DONALD AVENUE,BROOKLYN,11230,2,0,0,0,0,0,2,0,Unspecified,-73.97598,40.624622
4513681,2022-03-26,10:10,UNION STREET,PLAZA STREET WEST,,BROOKLYN,11217,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,-73.97089,40.67271
4514212,2022-03-26,11:45,BROOKLYN QUEENS EXPRESSWAY,,,,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,-73.926094,40.7314
4514420,2022-03-25,14:35,PORT RICHMOND AVENUE,HATFIELD PLACE,,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,-74.13712,40.632786
4513923,2022-03-26,14:30,MCCLEAN AVENUE,SAND LANE,,STATEN ISLAND,10305,0,0,0,0,0,0,0,0,Backing Unsafely,-74.07045,40.596733
4513752,2022-03-26,19:00,,,1549      EAST 56 STREET,BROOKLYN,11234,0,0,0,0,0,0,0,0,Backing Unsafely,-73.92092,40.617645
4513924,2022-03-26,2:05,PARSONS BOULEVARD,GRAND CENTRAL PARKWAY,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,
4513860,2022-03-26,16:40,,,436       ATLANTIC AVENUE,BROOKLYN,11217,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,-73.98378,40.68651
4514251,2022-03-24,18:05,MARCY AVENUE,ELLERY STREET,,BROOKLYN,11206,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.9498,40.69831
4513478,2022-03-26,3:35,179 STREET,,,,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,-73.76814,40.692455
4514302,2022-03-20,10:34,WEST 76 STREET,CENTRAL PARK WEST,,MANHATTAN,10024,1,0,1,0,0,0,0,0,Backing Unsafely,-73.974075,40.778805
4513708,2022-03-26,14:54,AVENUE OF THE AMERICAS,WEST 31 STREET,,MANHATTAN,10001,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,-73.989174,40.747894
4514189,2022-03-25,6:35,,,1700      CROSS BRONX EXPRESSWAY,BRONX,10472,0,0,0,0,0,0,0,0,Following Too Closely,-73.871445,40.83578
4514419,2022-03-25,14:00,LEONARD AVENUE,FISKE AVENUE,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-74.133575,40.61763
4514234,2022-03-21,19:13,WASHINGTON SQUARE NORTH,,,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,-73.99698,40.731407
